Text_ID,Author,Tradition,Corpus,Generation,Text,MATTR,Burrows_Delta,MLS,Hapax_Ratio,Mean_Word_Len,Lex_Density,Type,HLR,Lexical_Density
W_001,Hemingway,Western Minimalist,Human,—,The sun was hot and white. The hills were dry. He walked slowly toward the river.,0.75,0.0,12.5,48.5,4.2,0.65,Human,48.5,0.65
W_001_G1,Hemingway,Western Minimalist,GPT-4o,1,The sun felt hot and white. The hills were dry. He walked slowly to the river.,0.73,0.41,12.2,47.1,4.1,0.63,GPT-4o,47.1,0.63
W_001_G2,Hemingway,Western Minimalist,GPT-4o,2,It was a hot sun. The hills were dry. He walked slow toward the river.,0.72,0.45,11.9,46.2,4.2,0.62,GPT-4o,46.2,0.62
W_001_G3,Hemingway,Western Minimalist,GPT-4o,3,The sun was white and hot. The hills looked dry. He walked to the river.,0.74,0.38,12.1,46.8,4.1,0.64,GPT-4o,46.8,0.64
W_002,Carver,Western Minimalist,Human,—,He sat at the table. The coffee was cold. He did not look at her.,0.76,0.0,11.8,47.8,4.1,0.66,Human,47.8,0.66
W_002_G1,Carver,Western Minimalist,GPT-4o,1,He sat at the table. The coffee had gone cold. He did not look at her.,0.74,0.42,12.1,46.5,4.1,0.64,GPT-4o,46.5,0.64
W_002_G2,Carver,Western Minimalist,GPT-4o,2,He was sitting at the table. The coffee was cold. He looked away from her.,0.72,0.48,11.5,45.8,4.2,0.61,GPT-4o,45.8,0.61
W_002_G3,Carver,Western Minimalist,GPT-4o,3,At the table he sat. The coffee was cold now. He avoided her gaze.,0.73,0.39,12.0,46.1,4.1,0.63,GPT-4o,46.1,0.63
W_003,Didion,Western Minimalist,Human,—,"The wind blew across the valley, carrying the scent of old fire and dust.",0.78,0.0,14.2,49.2,4.5,0.68,Human,49.2,0.68
W_003_G1,Didion,Western Minimalist,GPT-4o,1,"The wind blew over the valley, bringing the smell of old fire and dust.",0.76,0.44,13.8,48.1,4.4,0.66,GPT-4o,48.1,0.66
W_003_G2,Didion,Western Minimalist,GPT-4o,2,"Across the valley the wind blew, with a scent of ancient fire and dust.",0.75,0.47,13.5,47.5,4.5,0.65,GPT-4o,47.5,0.65
